#system	nodestatus	realm	custtag	role	eihostname	hostenv	systemtype	oslevel
p1vsx36	LIVE	g.ei.p1	SHARED		p1vsx36	PRD	SERVER.X3650	
p1vsx37	LIVE	g.ei.p1	SHARED		p1vsx37	PRD	SERVER.X3650	
p1vsx38	LIVE	g.ei.p1	SHARED		p1vsx38	PRD	SERVER.X3650	
p1vsx39	LIVE	g.ei.p1	SHARED		p1vsx39	PRD	SERVER.X3650	
p1xiv01	LIVE	g.ei.p1	SHARED	XIV	p1xiv01	PRD	STORAGE.XIV	
p1xiv02	LIVE	g.ei.p1	SHARED	XIV	p1xiv02	PRD	STORAGE.XIV	
p1xiv03	LIVE	g.ei.p1	SHARED	XIV	p1xiv03	PRD	STORAGE.XIV	
p1xiv04	LIVE	g.ei.p1	SHARED	XIV	p1xiv04	PRD	STORAGE.XIV	
p3cibzfw01	LIVE	b.ci.p3	SHARED	FIREWALL.BACKEND;IES.COMPONENT	p3cibzfw01	SPP	NETWORK.ASA5550	
p3cibzfw01a	LIVE	b.ci.p3	SHARED	FIREWALL.BACKEND;IES.COMPONENT	p3cibzfw01a	SPP	NETWORK.ASA5550	
p3cibzrv01	LIVE	b.ci.p3	SHARED	ROUTER.VPN.BACKEND;IES.COMPONENT	p3cibzrv01	SPP	NETWORK.ASR	
p3cibzrv02	LIVE	b.ci.p3	SHARED	ROUTER.VPN.BACKEND;IES.COMPONENT	p3cibzrv02	SPP	NETWORK.ASR	
p3cigblb01	LIVE	g.ci.p3	SHARED	SLB.PRIMARY	p3cigblb01	SPP	NETWORK.SIADX	ServerIron ADX 1216-4-PREM 12.5.02cT403 ASR12502c
p3cigblb02	LIVE	g.ci.p3	SHARED	SLB.SECONDARY	p3cigblb02	SPP	NETWORK.SIADX	ServerIron ADX 1216-4-PREM 12.5.02cT403 ASR12502c
p3ciizsr01	LIVE	y.ci.p3	SHARED	SWITCH.INTERNAL;ROUTER.INTERNAL	p3ciizsr01	SPP	NETWORK.NEXUS7K	
p3ciizsr02	LIVE	y.ci.p3	SHARED	SWITCH.INTERNAL;ROUTER.INTERNAL	p3ciizsr02	SPP	NETWORK.NEXUS7K	
p3cirylb01	LIVE	y.ci.p3	SHARED	SLB.PRIMARY	p3cirylb01	SPP	NETWORK.SIADX	ServerIron ADX 1216-4-PREM 12.5.02cT403 ASR12502c
